file_path,filename,label
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s1.wav,101_s1.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s10.wav,101_s10.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s11.wav,101_s11.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s12.wav,101_s12.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s13.wav,101_s13.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s14.wav,101_s14.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s15.wav,101_s15.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s16.wav,101_s16.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s17.wav,101_s17.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s18.wav,101_s18.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s19.wav,101_s19.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s2.wav,101_s2.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s20.wav,101_s20.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s21.wav,101_s21.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s22.wav,101_s22.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s23.wav,101_s23.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s24.wav,101_s24.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s25.wav,101_s25.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s26.wav,101_s26.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s27.wav,101_s27.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s28.wav,101_s28.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s29.wav,101_s29.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s3.wav,101_s3.wav,unclear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s30.wav,101_s30.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s31.wav,101_s31.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s32.wav,101_s32.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s33.wav,101_s33.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s34.wav,101_s34.wav,clear
C:\Users\sudha\Documents\Education\Study Docs\Amrita\SEM 5\ML\LAB\ML Lab\wav files\101_s35.wav,101_s35.wav,unclear
